FID,HUC12,FREQUENCY,MEAN_pnMH20,MEAN_pnFH1,MEAN_pnFH6,MEAN_pnFH7,MEAN_pnDH1,MEAN_pnDH2,MEAN_pnDH3,MEAN_pnDH4,MEAN_pnDH5,MEAN_pnDH15
-1,101800010101,3,0.123439551333333,0.047455035666667,0.126762655666667,0.136054096333333,0.084878677666667,0.121079671000000,0.109116574000000,0.145982632000000,0.133163407666667,0.113040892000000
-1,101800010102,1,0.186672690000000,0.051599054000000,0.148037848000000,0.139891245000000,0.094046718000000,0.098128204000000,0.103581653000000,0.151435152000000,0.163435959000000,0.125433902000000
-1,101800010103,4,0.228423488750000,0.143977175750000,0.219848642750000,0.288296349750000,0.199132992750000,0.192651681500000,0.230889042750000,0.220427028000000,0.197236411500000,0.203574713750000
-1,101800010104,2,0.181314814500000,0.069935172500000,0.162440410500000,0.199227964500000,0.156467648000000,0.193383866500000,0.177352778000000,0.198911286000000,0.183646237000000,0.142243645500000
-1,101800010105,4,0.223910264500000,0.089584749250000,0.189042230250000,0.235576730000000,0.183259485250000,0.202993287000000,0.192702294750000,0.210116880250000,0.206009027750000,0.166015472250000
-1,101800010106,10,0.240300810800000,0.085348830900000,0.198059595100000,0.199198617900000,0.162380992000000,0.190400687500000,0.168092378900000,0.206036691100000,0.194767058900000,0.186347287700000
-1,101800010107,8,0.236792231875000,0.140173140375000,0.286384346875000,0.351548980250000,0.228465852875000,0.232229145750000,0.241423982125000,0.223654238625000,0.224364377250000,0.245445276500000
-1,101800010108,10,0.292600650200000,0.152019777800000,0.276439474200000,0.288230720100000,0.253656384700000,0.248920691600000,0.252909858700000,0.250249827800000,0.218296476100000,0.246992746400000
-1,101800010201,3,0.028130286000000,0.019283158000000,0.043579136666667,0.056906629000000,0.037449647000000,0.067735377666667,0.051604927333333,0.056818174333333,0.042808787000000,0.034361706666667
-1,101800010202,24,0.097023906708333,0.067298807750000,0.128392274791667,0.165467790333333,0.113146546625000,0.153479166500000,0.130764790500000,0.130332342083333,0.124423390208333,0.094511585958333
-1,101800010203,1,0.217333657000000,0.116899073000000,0.266047663000000,0.333467456000000,0.238287702000000,0.244204327000000,0.263401460000000,0.261063424000000,0.217027113000000,0.243078330000000
-1,101800010204,15,0.243590640600000,0.143659852400000,0.284859579200000,0.336621199533333,0.258365119933333,0.268869157466667,0.280305110466667,0.273751225466667,0.234599290133333,0.249266063066667
-1,101800010301,5,0.041450668000000,0.032628406200000,0.055556816600000,0.086966360600000,0.044497634000000,0.049914127400000,0.056345928000000,0.076933093000000,0.061719968400000,0.052247245000000
-1,101800010302,1,0.061689738000000,0.036681795000000,0.072868962000000,0.113090473000000,0.096072332000000,0.153675478000000,0.112700409000000,0.116536414000000,0.110338406000000,0.054060011000000
-1,101800010303,1,0.138983753000000,0.103445011000000,0.135434269000000,0.165780740000000,0.159092768000000,0.193155917000000,0.161942829000000,0.155860836000000,0.144783934000000,0.097393945000000
-1,101800010304,2,0.095347219500000,0.058018191000000,0.103001184000000,0.119649916500000,0.106893490500000,0.152882262000000,0.121045847500000,0.135980326000000,0.116198326500000,0.080969483000000
