,FID,HUC12,FREQUENCY,SUM_Length_km,Unnamed: 0,FP_Areakm2,Line_Density
0,,101800010104,4,0.30048100091517,3,2.0333399772644043,0.1477770585711044
1,,101800010105,1,0.17880000174045604,4,2.0668001174926762,0.08651054363078226
2,,101800010106,3,0.989450979977846,5,4.092599868774413,0.24176587296674842
3,,101800010108,4,5.593662977218628,7,7.459559917449951,0.7498650106869602
4,,101800010201,1,0.004974139854312,8,1.6584500074386597,0.002999270301788688
5,,101800010202,3,0.841517880558968,9,3.64274001121521,0.2310123363095132
6,,101800010203,1,0.405254989862442,10,7.070380210876465,0.057317283904906924
7,,101800010204,3,1.225819990038872,11,2.6201601028442383,0.4678416363596327
8,,101800010302,1,0.028002200648189,13,1.000040054321289,0.02800107908397093
9,,101800010303,6,0.46364078857004604,14,5.244309902191162,0.08840835061565087
10,,101800010304,2,0.219092004001141,15,1.2039599418640137,0.18197615749734578
11,,101800010305,5,0.28000547550618604,16,3.304539918899536,0.08473357331977163
12,,101800010306,9,4.366226518526673,17,9.170350074768066,0.4761243009184797
13,,101800010404,1,0.008455390110611999,21,2.5053200721740723,0.0033749740021340115
14,,101800010405,2,0.381474301218987,22,5.190969944000244,0.07348805817300048
15,,101800010407,8,7.052941203117371,24,5.217339992523193,1.3518270255004887
16,,101800010408,5,2.4123619943857193,25,8.91769027709961,0.2705142160611476
17,,101800010501,2,0.202056098729372,27,1.3792799711227417,0.146493897511538
18,,101800010504,2,0.268633797764778,30,0.5617309808731079,0.4782249989972709
19,,101800010505,8,2.131606455892324,31,9.366700172424316,0.22757282892088299
20,,101800010506,4,1.091384064406157,32,9.35595989227295,0.11665121237934409
21,,101800010507,4,0.7175602987408639,33,9.898550033569336,0.07249145544623949
22,,101800010601,2,0.6268450021743771,34,1.4949100017547607,0.4193195586614389
23,,101800010602,2,0.34906690567731896,35,2.2950398921966557,0.15209622580599935
24,,101800010603,3,1.451952010393143,36,2.0596299171447754,0.7049577199800805
25,,101800010604,5,1.2967149412725119,37,2.5012800693511963,0.5184205308159934
26,,101800010605,8,2.2355916313827042,38,6.419610023498535,0.34824414928624586
27,,101800010701,2,0.623773992061615,39,5.193419933319092,0.12010852195096108
28,,101800010702,4,0.286037895828485,40,1.3200500011444092,0.21668716759252013
29,,101800010703,5,2.4171354360878468,41,8.580719947814941,0.28169377986789607
30,,101800020102,1,0.014809099957347,43,0.3850379884243012,0.0384613996607207
31,,101800020107,3,1.36578137986362,44,1.9450900554656985,0.7021687124592394
32,,101800100101,2,0.094789497554302,49,1.85001003742218,0.05123728825081539
33,,101800100102,1,0.014528700150548999,50,0.4483410120010376,0.03240546762765342
34,,101800100105,3,0.7369930979330089,53,3.949579954147339,0.18660037434084958
35,,101800100106,2,0.641875982284546,54,1.1939300298690796,0.5376160798593289
36,,101800100107,1,0.060086600482464,55,2.663100004196167,0.022562652693397675
37,,101800100202,1,0.07787670195102701,56,0.8816750049591064,0.0883281271590988
38,,101900010105,1,0.010783599689603001,63,3.8241100311279297,0.0028198978590640487
39,,101900010106,2,0.8218310177326199,64,6.688889980316162,0.12286508227091136
40,,101900010108,6,9.79490418639034,66,11.739800453186035,0.8343331068912782
41,,101900010205,1,1.518120050430298,71,26.17910003662109,0.05798977231099042
42,,101900010208,2,2.01406592130661,74,6.3800902366638175,0.31567984881037914
43,,101900010209,3,0.44893740117549896,75,10.29740047454834,0.04359715855327945
44,,101900010306,1,0.741979002952576,82,15.458700180053713,0.047997502656138454
45,,101900010401,1,0.14927299320697798,84,1.6341199874877932,0.09134763319091527
46,,101900010402,1,0.10799600183963799,85,6.137849807739258,0.01759508707812711
47,,101900020608,2,0.32620280981063804,135,5.171689987182617,0.0630747029731269
48,,101900020701,1,0.048718698322773,136,1.058459997177124,0.046027907008960256
49,,101900020702,1,0.183035001158714,137,1.408650040626526,0.1299364610654506
50,,101900020703,4,2.348586350679398,138,11.952500343322756,0.19649330961880557
51,,101900020901,2,0.46512291394174105,148,6.004889965057372,0.07745735836098658
52,,101900020902,4,0.210522215347737,149,1.149880051612854,0.18308189193512195
53,,101900020903,5,0.8816140033304691,150,1.878350019454956,0.46935554832655124
54,,101900020904,1,0.058947499841452006,151,13.14050006866455,0.004485940377719792
55,,101900030203,2,0.051167000085114996,162,2.183350086212158,0.023435087395390356
56,,101900030204,5,1.362858511507511,163,10.054100036621094,0.13555251156676676
57,,101900030304,3,0.7206320017576221,167,10.98169994354248,0.06562117026165626
58,,101900030401,8,2.34288552775979,168,9.062959671020508,0.25851218727711456
59,,101900030402,8,4.5839142196346065,169,18.640899658203125,0.24590627618219096
60,,101900030403,6,2.6261090412735943,170,6.701260089874268,0.3918828706919905
61,,101900030404,8,5.448936656117438,171,10.415399551391602,0.5231615579634106
62,,101900030405,5,4.764061354100704,172,14.28159999847412,0.3335803659680784
63,,101900030406,1,0.044911198318005,173,6.0970401763916025,0.0073660656677162805
64,,101900030407,2,1.241765022277832,174,3.2663400173187256,0.3801701646778257
65,,101900030408,5,1.3791880160570147,175,8.148699760437013,0.1692525257530226
66,,101900030409,5,8.597348928451536,176,24.72450065612793,0.34772588728988935
67,,101900030501,3,3.623639534460381,177,7.707640171051025,0.4701360538430865
68,,101900030502,17,10.589434120804073,178,4.45251989364624,2.378301360520641
69,,101900030503,2,9.528579950332643,179,6.366889953613281,1.4965831072555398
70,,101900030504,4,11.913225773721932,180,20.191699981689453,0.590006080940449
71,,101900030505,5,9.32633775472641,181,11.815400123596193,0.7893374458052462
