FID,HUC12,FP_Areakm2,StrmOrder
211,101900030910,7.9256101,5
212,101900031001,4.7923799,3
213,101900031002,15.3051004,7
214,101900031003,2.9836600,-999
215,101900031004,0.7801540,2
216,101900031005,4.7480998,3
217,101900031006,14.8929005,3
218,101900031007,13.5144997,7
219,101900031101,9.6290102,-999
220,101900031102,22.4962997,7
221,101900031103,30.0492992,7
222,101900031104,3.1943901,3
223,101900031105,4.3419099,7
224,101900031201,9.7788000,1
225,101900031202,5.0945802,4
226,101900031203,21.5839996,7
227,101900031205,8.1089096,7
228,101900031206,4.4765501,7
229,101900040101,0.6368050,3
230,101900040102,1.2334900,3
231,101900040103,0.9592020,4
232,101900040104,0.5463820,4
233,101900040201,0.0240855,2
234,101900040202,1.3085300,4
235,101900040203,0.2411770,2
236,101900040204,0.7774150,4
237,101900040205,0.0024903,3
238,101900040206,0.9066190,3
239,101900040207,1.5542800,4
240,101900040301,0.5448360,2
241,101900040302,1.1650200,2
242,101900040303,2.5375600,1
243,101900040304,5.4611702,3
244,101900040401,1.1101900,4
245,101900040402,1.2251400,4
246,101900040403,9.0119600,4
247,101900040404,4.3378000,4
248,101900050101,2.0393100,3
249,101900050102,1.5538300,3
250,101900050103,1.5871400,4
251,101900050201,0.0029766,3
252,101900050202,0.9496160,3
253,101900050203,0.1450740,3
254,101900050204,3.0933599,4
255,101900050301,0.2232100,2
256,101900050302,1.0427200,3
257,101900050303,0.6375300,3
258,101900050304,9.0639496,3
259,101900050401,1.6657799,3
260,101900050402,2.3980300,3
261,101900050403,0.6631210,2
262,101900050404,0.6932710,4
263,101900050405,0.0252262,4
264,101900050406,9.5749998,4
265,101900050501,0.5546440,3
266,101900050502,0.9632970,3
267,101900050503,2.6145000,3
268,101900050504,10.7362003,4
269,101900050601,5.9079599,4
270,101900050602,2.2396500,2
271,101900050603,4.0982900,3
272,101900050604,3.5949099,3
273,101900050605,6.8332200,4
274,101900050701,7.5113602,4
275,101900050702,1.2713300,3
276,101900050703,10.8317003,4
277,101900050704,7.7782798,3
278,101900050705,8.1390400,4
279,101900050706,7.1929598,5
280,101900050707,19.1005993,5
281,101900050708,2.0846701,2
282,101900050709,6.3097301,5
283,101900060101,0.1877340,3
284,101900060102,0.4311220,3
285,101900060103,0.0024325,2
286,101900060104,0.7588630,3
287,101900060201,0.7066610,4
288,101900060202,1.8947800,4
289,101900060203,0.0019334,4
290,101900060204,1.4494801,4
291,101900060205,0.0074141,1
292,101900060206,0.1313830,2
293,101900060207,2.7149799,4
294,101900060301,0.5945590,3
295,101900060302,0.6343860,4
296,101900060303,0.9020290,3
297,101900060304,1.9650000,4
298,101900060401,0.2958370,3
299,101900060402,0.1787250,3
300,101900060403,0.2492400,3
301,101900060404,1.3673400,4
302,101900060501,5.5688000,4
303,101900060502,3.8536501,4
304,101900060503,6.1436801,4
305,101900060504,3.1290200,4
306,101900060601,0.3369050,2
307,101900060602,1.4456300,5
308,101900060603,2.7249701,5
309,101900060604,7.9464202,5
310,101900060605,16.2926998,5
311,101900060606,8.7550097,5
312,101900060607,4.6178198,5
313,101900070101,1.2287600,3
314,101900070102,0.4592440,3
315,101900070103,0.0090868,4
316,101900070104,0.3122240,4
317,101900070105,1.4934100,5
318,101900070201,0.2022730,2
319,101900070202,0.2254550,3
320,101900070203,1.1522000,3
321,101900070204,2.4039099,3
322,101900070205,1.0140200,4
323,101900070206,0.2176310,2
324,101900070207,0.0023341,3
325,101900070208,3.2328300,4
326,101900070209,0.1332890,4
327,101900070210,1.3724300,4
328,101900070301,0.8453260,3
329,101900070302,0.1857390,2
330,101900070303,1.1141200,5
331,101900070304,0.3994510,3
332,101900070305,1.0665600,5
333,101900070402,0.7983980,2
334,101900070403,0.4646450,2
335,101900070404,1.1955600,4
336,101900070501,0.9156770,4
337,101900070502,1.6148100,3
338,101900070503,0.8200780,3
339,101900070504,1.7096800,4
340,101900070601,1.6241800,2
341,101900070602,1.2794000,3
342,101900070603,1.5130600,5
343,101900070701,1.2456000,4
344,101900070702,1.2693501,4
345,101900070703,0.5315010,4
346,101900070704,3.9557099,6
347,101900070801,0.8164810,3
348,101900070802,6.8207302,2
349,101900070803,3.0871401,4
350,101900070804,11.7215004,4
351,101900070805,20.0132999,6
352,101900070901,2.4431801,5
353,101900070902,2.8750000,5
354,101900070903,6.3201499,4
355,101900070904,4.5870800,5
356,101900070905,33.9006996,6
357,101900071001,9.8941898,2
358,101900071002,16.8220005,6
359,101900071003,14.0993004,3
360,101900071004,0.0394712,2
361,101900071005,12.9931002,6
362,101900071006,4.8965602,2
363,101900071007,3.6632900,6
364,101900071008,30.0324001,6
365,101900080104,0.7495350,4
366,101900080105,2.8739901,4
367,101900080201,9.9488297,3
368,101900080202,16.9797001,3
369,101900080203,14.9202003,4
370,101900080204,19.7696991,4
371,101900080301,5.5114799,3
372,101900080302,2.9175999,2
373,101900080303,2.1172400,3
374,101900080304,40.6917992,4
375,101900080305,0.0304640,1
376,101900080306,15.7166996,6
377,101900090201,1.4727000,3
378,101900090202,3.6744599,3
379,101900090203,2.0459700,4
380,101900090204,3.8739300,2
381,101900090205,2.7551000,4
382,101900090206,1.6129400,2
383,101900090207,3.8555300,3
384,101900090208,12.2241001,5
385,101900090302,3.7990301,4
386,101900090303,26.5534992,4
387,101900090304,3.5136900,-999
388,101900090305,22.1558990,2
389,101900090306,5.2699199,4
390,101900090401,0.7209660,2
391,101900090402,1.6086700,2
392,101900090403,2.6995900,3
393,101900090501,6.0128498,5
394,101900090502,4.3583298,3
395,101900090503,3.5179100,5
396,101900090504,4.6072798,5
397,101900090601,5.7841301,3
398,101900090602,26.8052998,5
399,101900100101,3.1947200,2
400,101900100102,1.9844600,1
401,101900100103,5.7277398,3
402,101900100201,1.4886600,1
403,101900100202,5.6534400,1
404,101900100203,12.1594000,3
405,101900100204,1.4160900,1
