,FID,HUC12,FREQUENCY,SUM_area_km2,Unnamed: 0,FP_Areakm2,Area_Density
0,-1,101800010101,41,0.5706345296200079,0,1.4596600532531738,0.39093659400229747
1,-1,101800010102,77,2.795767049943606,1,5.14546012878418,0.5433463635844396
2,-1,101800010103,8,0.440559093956836,2,0.7516239881515503,0.586142939690219
3,-1,101800010104,27,1.524456643121084,3,2.0333399772644043,0.7497303255563013
4,-1,101800010105,25,1.3987444102822342,4,2.0668001174926762,0.6767681104930026
5,-1,101800010106,126,3.570867136644665,5,4.092599868774413,0.8725180206082574
6,-1,101800010107,5,0.016806300875031998,6,1.6758699417114258,0.010028404028697554
7,-1,101800010108,91,4.55637862405456,7,7.459559917449951,0.6108106476088413
8,-1,101800010201,31,1.015656469552141,8,1.6584500074386597,0.6124130754599829
9,-1,101800010202,53,2.584543078643037,9,3.64274001121521,0.7095052270230066
10,-1,101800010203,40,1.2269696437142559,10,7.070380210876465,0.1735365860278336
11,-1,101800010204,69,2.189572814361327,11,2.6201601028442383,0.8356637489382805
12,-1,101800010301,16,0.633460311953968,12,1.07683002948761,0.5882639735217902
13,-1,101800010302,35,0.397672109433188,13,1.000040054321289,0.3976561815847282
14,-1,101800010303,111,2.362973638670837,14,5.244309902191162,0.45057856662581025
15,-1,101800010304,17,1.023762564989738,15,1.2039599418640137,0.8503294249181682
16,-1,101800010305,77,1.6099119203208831,16,3.304539918899536,0.48718186489846044
17,-1,101800010306,195,4.670612441096736,17,9.170350074768066,0.5093167003458005
18,-1,101800010401,22,1.376118030594171,18,1.6523599624633791,0.8328197619498237
19,-1,101800010402,56,0.914708785527182,19,1.542289972305298,0.5930848296704833
20,-1,101800010403,33,0.989805870362034,20,1.2490999698638916,0.7924152543770283
21,-1,101800010404,56,2.07113937275426,21,2.5053200721740723,0.8266965150512533
22,-1,101800010405,72,3.894286773167551,22,5.190969944000244,0.7502040688308342
23,-1,101800010406,10,0.5389997032471,23,1.7081899642944336,0.31553850245791215
24,-1,101800010407,47,1.502915725188327,24,5.217339992523193,0.2880616803470942
25,-1,101800010408,109,7.126870229851193,25,8.91769027709961,0.799183421760319
26,-1,101800010409,51,1.547834010481893,26,4.511290073394775,0.3431023022904705
27,-1,101800010501,35,0.7476297554931078,27,1.3792799711227417,0.5420435090379315
28,-1,101800010502,18,0.26465997774357697,28,0.7798759937286377,0.33936161629776607
29,-1,101800010503,34,1.593403350176232,29,2.155780076980591,0.7391307523390652
30,-1,101800010504,13,0.535713535908144,30,0.5617309808731079,0.9536834430521802
31,-1,101800010505,99,8.243910958760353,31,9.366700172424316,0.8801296942364538
32,-1,101800010506,124,8.138013445638535,32,9.35595989227295,0.8698213266561444
33,-1,101800010507,97,8.224037244362988,33,9.898550033569336,0.8308325175376688
34,-1,101800010601,26,0.40484448147663,34,1.4949100017547607,0.27081528720887144
35,-1,101800010602,53,1.5696293289856842,35,2.2950398921966557,0.6839224600507235
36,-1,101800010603,37,1.3276096369772858,36,2.0596299171447754,0.6445864987326098
37,-1,101800010604,27,2.02718442868354,37,2.5012800693511963,0.810458794088328
38,-1,101800010605,85,4.16991726139895,38,6.419610023498535,0.649559279478856
39,-1,101800010701,119,3.1455831813655095,39,5.193419933319092,0.6056862764331058
40,-1,101800010702,34,0.966447127118499,40,1.3200500011444092,0.7321291816829997
41,-1,101800010703,128,4.051668443957169,41,8.580719947814941,0.4721828085053535
42,-1,101800020101,17,0.17054299649316798,42,0.3427239954471588,0.4976103183865406
43,-1,101800020102,7,0.16645393689395901,43,0.3850379884243012,0.4323052319464421
44,-1,101800020107,33,0.55411267769523,44,1.9450900554656985,0.2848776467383475
45,-1,101800020201,24,0.409889280970674,45,0.6393049955368042,0.6411482529187855
46,-1,101800020202,53,0.743993551338463,46,3.0973699092864986,0.24020171084759045
47,-1,101800020401,16,0.211886443525145,47,0.7669259905815125,0.2762801706126619
48,-1,101800020402,24,0.118790764638106,48,0.4516589939594269,0.26300985085393236
49,-1,101800100101,7,0.79688653035555,49,1.85001003742218,0.4307471387917109
50,-1,101800100102,3,0.212037642486393,50,0.4483410120010376,0.4729383143871351
51,-1,101800100103,8,0.95856563851703,51,1.3927700519561768,0.6882440049387213
52,-1,101800100104,5,0.42679582384880604,52,0.7132419943809509,0.5983885234060536
53,-1,101800100105,13,3.119645123369992,53,3.949579954147339,0.7898675706246036
54,-1,101800100106,6,0.725430287304334,54,1.1939300298690796,0.6075986608560981
55,-1,101800100107,58,2.039178937348851,55,2.663100004196167,0.765716245779647
56,-1,101800100202,2,0.5554808191955091,56,0.8816750049591064,0.6300289971600966
57,-1,101800100301,28,0.168263505867799,57,0.5145609974861145,0.3270040028098702
58,-1,101800100304,13,0.08996022889237999,58,0.14456799626350406,0.6222693211325244
59,-1,101900010101,1,0.002526560099795,59,0.006094799842685461,0.41454357239101053
60,-1,101900010102,24,0.19542389452432501,60,0.7552930116653442,0.25873918003482543
61,-1,101900010103,49,0.891583257352977,61,1.0708600282669067,0.8325861772952031
62,-1,101900010104,199,1.580565667125939,62,3.2010600566864014,0.4937632031690377
63,-1,101900010105,140,2.661554567610438,63,3.8241100311279297,0.6959931973571918
64,-1,101900010106,196,4.64108982474545,64,6.688889980316162,0.6938505250352586
65,-1,101900010107,12,0.033821053049905,65,5.538959980010986,0.006106029502281747
66,-1,101900010108,266,7.3481057165336106,66,11.739800453186035,0.6259140217787456
67,-1,101900010201,114,0.7344047702515009,67,1.0429099798202517,0.7041880741980027
68,-1,101900010202,90,0.849878006824838,68,1.249150037765503,0.6803650331269346
69,-1,101900010203,13,0.28279531186853996,69,0.8911629915237427,0.3173328723907243
70,-1,101900010204,79,1.37738925411702,70,2.9031200408935547,0.4744513608514348
71,-1,101900010205,284,7.548445323596963,71,26.17910003662109,0.2883386103050788
72,-1,101900010206,16,0.20588830660562998,72,1.124250054359436,0.18313390851729952
73,-1,101900010207,22,0.886272876727162,73,3.710340023040772,0.23886567571260653
74,-1,101900010208,73,2.6803861012997596,74,6.3800902366638175,0.42011727136657984
75,-1,101900010209,211,4.1159937269985685,75,10.29740047454834,0.39971192119524734
76,-1,101900010210,195,2.298247107770294,76,9.587809562683104,0.23970512688480436
77,-1,101900010301,23,0.47848355736641707,77,3.3571600914001465,0.1425262854137109
78,-1,101900010302,26,0.160490116621077,78,1.9421499967575075,0.08263528403522967
79,-1,101900010303,13,0.07057173637440402,79,1.478760004043579,0.04772359015758467
80,-1,101900010304,10,0.096781279993593,80,1.5226800441741943,0.06355982687491059
81,-1,101900010305,3,0.002657863020431,81,4.892739772796631,0.0005432259110138199
82,-1,101900010306,177,2.9913930021539263,82,15.458700180053713,0.19350870172213486
83,-1,101900010307,78,1.1476386843578439,83,16.853399276733402,0.06809538334157857
84,-1,101900010401,12,0.7165640738385258,84,1.6341199874877932,0.43850150498442425
85,-1,101900010402,147,3.41934958336833,85,6.137849807739258,0.5570924168031691
86,-1,101900010403,66,0.96128418661101,86,2.045180082321167,0.47002422667836924
87,-1,101900010404,100,4.346038562410222,87,8.745800018310549,0.4969286461285629
88,-1,101900010405,121,0.703333306163131,88,1.3644700050354004,0.5154626364577969
89,-1,101900010501,73,0.6384449737688559,89,1.010550022125244,0.6317796841230778
90,-1,101900010502,52,0.35405029515095504,90,0.8794819712638855,0.4025668594913397
91,-1,101900010503,142,2.386591311736083,91,3.8692200183868413,0.6168145777171655
92,-1,101900010504,147,0.8928476691917241,92,1.4926099777221682,0.5981788159786221
93,-1,101900010505,20,0.079700795657118,93,0.4011499881744385,0.19868078775178832
94,-1,101900010506,183,0.655241178375547,94,1.8116099834442136,0.361689979832088
95,-1,101900010507,90,0.463761208412336,95,1.3672800064086914,0.3391852482582956
96,-1,101900010601,29,0.08835093781817699,96,0.17103800177574158,0.5165573550959706
97,-1,101900010602,105,0.14698832745762,97,0.5929340124130249,0.2478999760182945
98,-1,101900010603,193,0.7486906826026141,98,1.4906500577926636,0.5022578429381783
99,-1,101900010604,32,0.159017353552827,99,0.6461049914360046,0.2461168937874973
100,-1,101900010605,77,0.49195106532988603,100,1.9807300567626955,0.2483685566593212
101,-1,101900010606,19,0.22732739514503897,101,1.473639965057373,0.15426250680992387
102,-1,101900020101,26,0.166214926969587,102,0.6238960027694702,0.2664144765021094
103,-1,101900020102,4,0.393671000376344,103,0.6468390226364136,0.6086073761780841
104,-1,101900020103,9,0.873046122025698,104,1.2034599781036377,0.7254467434815803
105,-1,101900020104,11,0.663490478531457,105,2.450969934463501,0.2707052702695393
106,-1,101900020105,12,0.38245792826637603,106,1.644320011138916,0.23259336727372898
107,-1,101900020201,17,0.046229383151513,107,0.6497949957847595,0.07114456628845167
108,-1,101900020202,75,0.42719365963603206,108,1.1485600471496582,0.37193846390198215
109,-1,101900020203,37,0.11103775348192402,109,0.6285070180892944,0.17666907494443992
110,-1,101900020204,132,0.636458050616056,110,2.4149401187896733,0.26355024112773356
111,-1,101900020301,144,0.709902101984255,111,1.4664900302886963,0.48408246037956504
112,-1,101900020302,109,0.417948232396157,112,1.4532400369644165,0.28759752123894367
113,-1,101900020303,43,0.071845046273666,113,1.5794600248336792,0.04548709378145322
114,-1,101900020304,84,0.43038009513838893,114,1.7207000255584717,0.25011918913565684
115,-1,101900020305,76,0.215745945788512,115,1.468019962310791,0.14696390466578474
116,-1,101900020401,31,0.105383521250019,116,0.16405299305915833,0.6423748770741243
117,-1,101900020402,32,0.066550391442433,117,0.5227789878845215,0.1273011979914035
118,-1,101900020403,15,0.22704446502029899,118,1.134029984474182,0.20021028379207553
119,-1,101900020404,3,0.06976267974823701,119,5.040909767150879,0.013839303413611162
120,-1,101900020405,5,0.049953118897974005,120,0.6613230109214783,0.07553512893551069
121,-1,101900020406,5,0.006329142081086,121,0.8499320149421692,0.007446645107863887
122,-1,101900020407,71,0.38767781218848496,122,1.6725200414657593,0.23179262584425164
123,-1,101900020408,99,0.300083454884771,123,1.5817099809646606,0.18972090869765815
124,-1,101900020501,9,0.09618236881033199,124,0.3437199890613556,0.2798276849507376
125,-1,101900020502,13,0.153559150701767,125,0.8756920099258423,0.17535748751980862
126,-1,101900020503,55,0.355288902450411,126,2.997689962387085,0.11852089672658861
127,-1,101900020504,61,0.48178673641768893,127,1.9837299585342407,0.2428691134823999
128,-1,101900020601,10,0.066236729282537,128,0.6557040214538574,0.10101620108364419
129,-1,101900020602,27,0.209635823353892,129,1.0142600536346436,0.20668843518252858
130,-1,101900020603,4,0.011422336741816001,130,0.2563770115375519,0.044552889798167246
131,-1,101900020604,6,0.09719452596152699,131,0.7897009849548341,0.12307763041106742
132,-1,101900020605,10,0.092455569327285,132,0.5377820134162903,0.17192015913651673
133,-1,101900020606,87,0.7803923543563509,133,3.4447100162506104,0.2265480550394102
134,-1,101900020607,4,0.070576424710453,134,0.6782429814338684,0.10405772951936475
135,-1,101900020608,81,1.5042249541925192,135,5.171689987182617,0.2908575258610921
136,-1,101900020701,10,0.023861911118729,136,1.058459997177124,0.02254398955309401
137,-1,101900020702,14,0.123711908585392,137,1.408650040626526,0.08782302560426476
138,-1,101900020703,41,0.894117119849398,138,11.952500343322756,0.07480586439379565
139,-1,101900020801,6,0.20661041047424103,139,0.4862299859523773,0.4249232183193182
140,-1,101900020802,31,0.141200149499127,140,1.1562399864196775,0.12212010582366759
141,-1,101900020803,11,0.018424785899697,141,0.3704900145530701,0.04973085690831157
142,-1,101900020804,12,0.212228900752962,142,1.0680099725723269,0.19871434368894866
143,-1,101900020805,3,0.005499719874933001,143,0.6064879894256592,0.009068143097345103
144,-1,101900020806,13,0.126230083522387,144,0.8208789825439453,0.15377429098159343
145,-1,101900020807,27,0.122511648978957,145,0.6631280183792114,0.18474811135019545
146,-1,101900020808,73,0.49823352355633704,146,4.063660144805908,0.12260708469756496
147,-1,101900020809,14,0.02533329050857,147,4.547890186309815,0.005570339095879881
148,-1,101900020901,46,0.166502894547193,148,6.004889965057372,0.027727884360259414
149,-1,101900020903,3,0.001404165974236,150,1.878350019454956,0.0007475528840164993
150,-1,101900020904,20,0.050785945328244,151,13.14050006866455,0.0038648411447712353
151,-1,101900030101,18,0.127253757607832,152,1.0326199531555176,0.12323387439780274
152,-1,101900030102,80,0.562672970055928,153,3.3380200862884517,0.16856488442571496
153,-1,101900030103,61,0.568625596410129,154,3.589639902114868,0.15840742021925883
154,-1,101900030104,24,0.222220382391242,155,1.2480499744415283,0.17805407390892353
155,-1,101900030105,9,0.092629679944366,156,0.8598909974098206,0.10772258370350057
156,-1,101900030106,26,0.115484686160926,157,5.872779846191406,0.0196643990044714
157,-1,101900030107,6,0.013931088557001,158,2.368259906768799,0.005882415404316103
158,-1,101900030108,10,0.060250420006922996,159,3.196039915084839,0.018851585589575982
159,-1,101900030201,25,0.471047857710801,160,3.530709981918335,0.1334144860731006
160,-1,101900030202,10,0.008767468949372,161,7.4902801513671875,0.001170512820908533
161,-1,101900030203,13,0.10463623056762102,162,2.183350086212158,0.04792462337047922
162,-1,101900030204,54,0.18352645431878,163,10.054100036621094,0.018253891810336334
163,-1,101900030301,14,0.038118241849587994,164,3.368730068206787,0.011315314993426815
164,-1,101900030302,3,0.007895701972301999,165,0.9664509892463684,0.008169790356838489
165,-1,101900030303,54,1.012714307988063,166,9.198880195617676,0.11009104221952119
166,-1,101900030304,26,0.067157009150833,167,10.98169994354248,0.006115356410764349
167,-1,101900030401,57,0.44232116144849004,168,9.062959671020508,0.04880537677585006
168,-1,101900030402,46,0.6286185290227879,169,18.640899658203125,0.033722542395970556
169,-1,101900030403,27,0.491077209742798,170,6.701260089874268,0.07328132368490295
170,-1,101900030404,14,0.100797881862491,171,10.415399551391602,0.009677773892891454
171,-1,101900030405,24,0.5341788112418729,172,14.28159999847412,0.0374032889381404
172,-1,101900030406,15,0.15147135181177898,173,6.0970401763916025,0.02484342360056809
173,-1,101900030407,25,0.5027441978381829,174,3.2663400173187256,0.15391667590408292
174,-1,101900030408,9,0.477543076824077,175,8.148699760437013,0.05860359208994423
175,-1,101900030409,57,2.021947726876533,176,24.72450065612793,0.08177911275127801
176,-1,101900030501,18,0.9273003730559141,177,7.707640171051025,0.12030924543399721
177,-1,101900030502,54,1.141509372762812,178,4.45251989364624,0.2563737838413141
178,-1,101900030503,12,0.7018389955555899,179,6.366889953613281,0.11023262545275947
179,-1,101900030504,19,1.180397202690074,180,20.191699981689453,0.05845952563481529
180,-1,101900030505,40,2.9826844104354686,181,11.815400123596193,0.25244040652324895
181,-1,101900030601,1,0.196713000535965,182,2.3350300788879395,0.08424431116092936
182,-1,101900030602,41,3.0802337141358285,183,18.489500045776367,0.16659367243623546
183,-1,101900030603,66,3.713726845919155,184,25.85709953308105,0.14362503579211922
184,-1,101900030604,41,4.625369417917682,185,14.32800006866455,0.3228203095862207
185,-1,101900030605,14,1.162107577110874,186,5.151100158691406,0.22560376255741407
