OID_,IFI_HUC12,FREQUENCY,MEAN_ICI_I
,101800100304.000000000000000,6,0.656847890716000
,101900010101.000000000000000,3,0.812217663623000
,101900010102.000000000000000,9,0.828279184764000
,101900010103.000000000000000,2,0.808114021861000
,101900010104.000000000000000,12,0.816252533136000
,101900010105.000000000000000,12,0.779087355484000
,101900010106.000000000000000,19,0.802242147728000
,101900010107.000000000000000,16,0.811095974036000
,101900010108.000000000000000,21,0.756920812541000
,101900010201.000000000000000,9,0.785409193351000
,101900010202.000000000000000,26,0.828584383392000
,101900010203.000000000000000,6,0.763824737168000
,101900010204.000000000000000,14,0.776418006527000
,101900010205.000000000000000,66,0.785023210030000
,101900010206.000000000000000,17,0.781361865868000
,101900010207.000000000000000,21,0.777603021174000
,101900010208.000000000000000,13,0.803233009115000
,101900010209.000000000000000,17,0.789732275802000
,101900010210.000000000000000,39,0.779857916645000
,101900010301.000000000000000,15,0.773318762139000
,101900010302.000000000000000,4,0.816336274252000
,101900010303.000000000000000,13,0.787588897915000
,101900010304.000000000000000,13,0.786268776853000
,101900010305.000000000000000,16,0.828196244461000
,101900010306.000000000000000,25,0.788990047386000
,101900010307.000000000000000,44,0.804184886394000
,101900010401.000000000000000,8,0.776708509775000
,101900010402.000000000000000,16,0.789023446499000
,101900010403.000000000000000,11,0.773810074858000
,101900010404.000000000000000,10,0.758924127491000
,101900010405.000000000000000,11,0.715004320032000
,101900010501.000000000000000,21,0.791715173858000
,101900010502.000000000000000,8,0.713817394958000
,101900010503.000000000000000,33,0.717112125389000
,101900010504.000000000000000,15,0.749899747249000
,101900010505.000000000000000,5,0.755479073389000
,101900010506.000000000000000,21,0.788040823042000
,101900010507.000000000000000,12,0.747336974814000
,101900010601.000000000000000,10,0.689457001089000
,101900010602.000000000000000,12,0.704386313683000
,101900010603.000000000000000,20,0.690570817663000
,101900010604.000000000000000,8,0.745071420496000
,101900010605.000000000000000,31,0.768558846719000
,101900010606.000000000000000,17,0.783076809116000
,101900020101.000000000000000,8,0.733473865031000
,101900020102.000000000000000,7,0.759773292300000
,101900020103.000000000000000,22,0.699684053389000
,101900020104.000000000000000,26,0.784400310350000
,101900020105.000000000000000,31,0.783973516452000
,101900020201.000000000000000,14,0.846145177470000
,101900020202.000000000000000,14,0.825425351447000
,101900020203.000000000000000,10,0.850472267848000
,101900020204.000000000000000,27,0.817095671187000
,101900020301.000000000000000,11,0.803801468676000
,101900020302.000000000000000,20,0.741813951422000
,101900020303.000000000000000,20,0.819429857910000
,101900020304.000000000000000,20,0.809478767161000
,101900020305.000000000000000,14,0.825382058248000
,101900020401.000000000000000,6,0.814295726564000
,101900020402.000000000000000,24,0.847882218862000
,101900020403.000000000000000,10,0.837860808079000
,101900020404.000000000000000,29,0.811113295119000
,101900020405.000000000000000,9,0.810311750390000
,101900020406.000000000000000,11,0.804404898322000
,101900020407.000000000000000,15,0.819766297560000
,101900020408.000000000000000,14,0.844002400128000
,101900020501.000000000000000,3,0.835861168786000
,101900020502.000000000000000,4,0.851207136822000
,101900020503.000000000000000,9,0.759078328892000
,101900020504.000000000000000,29,0.764587326581000
,101900020601.000000000000000,5,0.834552110532000
,101900020602.000000000000000,11,0.858093619466000
,101900020603.000000000000000,3,0.736362294201000
,101900020604.000000000000000,4,0.871508946044000
,101900020605.000000000000000,3,0.891813318065000
,101900020606.000000000000000,21,0.844791286363000
,101900020607.000000000000000,6,0.863304096450000
,101900020608.000000000000000,18,0.765812099330000
,101900020701.000000000000000,17,0.828330722148000
,101900020702.000000000000000,9,0.741345180526000
,101900020703.000000000000000,27,0.593187405845000
,101900020801.000000000000000,8,0.742682696245000
,101900020802.000000000000000,12,0.826504544077000
,101900020803.000000000000000,7,0.781179015253000
,101900020804.000000000000000,14,0.726536071672000
,101900020805.000000000000000,6,0.778614885757000
,101900020806.000000000000000,7,0.784842130366000
,101900020807.000000000000000,5,0.742877414115000
,101900020808.000000000000000,12,0.733837601459000
,101900020809.000000000000000,11,0.534324637967000
,101900020901.000000000000000,11,0.520223712220000
,101900020902.000000000000000,11,0.474794471576000
,101900020903.000000000000000,9,0.479498326002000
,101900020904.000000000000000,36,0.443032102105000
,101900030101.000000000000000,7,0.872841593024000
,101900030102.000000000000000,10,0.837288725107000
,101900030103.000000000000000,11,0.854531290321000
,101900030104.000000000000000,4,0.876658596309000
,101900030105.000000000000000,6,0.826324966333000
,101900030106.000000000000000,20,0.816862178374000
,101900030107.000000000000000,10,0.737965377485000
,101900030108.000000000000000,15,0.676085572470000
,101900030201.000000000000000,26,0.854589167781000
,101900030202.000000000000000,16,0.641624575157000
,101900030203.000000000000000,14,0.492588277214000
,101900030204.000000000000000,14,0.490545910475000
,101900030301.000000000000000,19,0.632886787964000
,101900030302.000000000000000,6,0.573509763394000
,101900030303.000000000000000,24,0.681903940992000
,101900030304.000000000000000,13,0.410898182462000
,101900030401.000000000000000,13,0.280718164017000
,101900030402.000000000000000,28,0.472260388542000
,101900030403.000000000000000,12,0.318567854759000
,101900030404.000000000000000,10,0.249042362994000
