,FID,HUC12,FREQUENCY,SUM_area_km2,Unnamed: 0,FP_Areakm2,Area_Density
0,,101900050604,1,0.521910011768341,272,3.5949099063873287,0.14518027582305382
1,,101900070804,1,0.5463860034942629,350,11.721500396728516,0.04661399863508599
2,,101900070805,3,0.901783004403114,351,20.0132999420166,0.045059185992105184
3,,101900100404,1,3.9065299034118652,418,31.573299407958984,0.12372890944768061
4,,110200020905,1,0.25790798664093,970,20.91699981689453,0.012330065922390042
5,,110200030107,2,1.9020130038261407,995,2.0789899826049805,0.9148735779106126
6,,110200030407,2,0.955834485590458,1014,7.783520221710205,0.1228023385773951
7,,110200050906,1,32.352401733398445,1091,13.69909954071045,2.3616444013166586
8,,110200090701,2,32.681236743927,1244,37.70009994506836,0.8668740080675068
9,,110200091505,1,3.0466299057006836,1295,32.273300170898445,0.09440094101215896
10,,110200091605,1,4.347209930419922,1300,3.415610074996948,1.272747718553268
11,,110200091705,4,18.48017978668213,1305,46.28260040283203,0.3992900058733806
12,,110200091804,1,4.803730010986328,1309,8.616669654846191,0.5574926512686502
13,,110200091902,1,4.803730010986328,1311,21.233200073242188,0.22623674219694884
14,,110200101904,1,32.352401733398445,1416,15.007200241088867,2.155791967433032
15,,130100010702,3,0.47153300046920793,1639,1.1524300575256348,0.40916409407233734
16,,130100020207,1,17.974199295043945,1679,41.273399353027344,0.43549112931803047
17,,130100020707,1,17.974199295043945,1716,35.39239883422852,0.5078547904941901
18,,130100020710,2,30.720099449157715,1719,116.0250015258789,0.2647713772475644
19,,140100051503,1,0.488862991333008,2108,12.093700408935547,0.04042294540154202
