OID_,IFI_HUC12,FREQUENCY,MEAN_ICI_I
,101900010203.000000000000000,35,0.821256043216000
,101900010204.000000000000000,56,0.809119295315000
,101900010205.000000000000000,103,0.796381700004000
,101900010206.000000000000000,53,0.790986348534000
,101900010207.000000000000000,53,0.783801667980000
,101900010208.000000000000000,30,0.784398336805000
,101900010209.000000000000000,37,0.794313009250000
,101900010210.000000000000000,61,0.778832311595000
,101900010301.000000000000000,31,0.782569593452000
,101900010302.000000000000000,26,0.814144796898000
,101900010303.000000000000000,24,0.796908410780000
,101900010304.000000000000000,30,0.792756784963000
,101900010305.000000000000000,39,0.813515064453000
,101900010306.000000000000000,55,0.797586708053000
,101900010307.000000000000000,88,0.800293971934000
,101900010401.000000000000000,21,0.771665994528000
,101900010402.000000000000000,41,0.810226042849000
,101900010403.000000000000000,41,0.787756023733000
,101900010404.000000000000000,31,0.772843954068000
,101900010405.000000000000000,24,0.725449577845000
,101900010501.000000000000000,60,0.809632243718000
,101900010502.000000000000000,35,0.759633740110000
,101900010503.000000000000000,79,0.769140980665000
,101900010504.000000000000000,40,0.805413492960000
,101900010505.000000000000000,16,0.788145507975000
,101900010506.000000000000000,43,0.813629756134000
,101900010507.000000000000000,33,0.788189805325000
,101900010601.000000000000000,46,0.740693415016000
,101900010602.000000000000000,32,0.726658911640000
,101900010603.000000000000000,90,0.736887253950000
,101900010604.000000000000000,25,0.768691534092000
,101900010605.000000000000000,62,0.775064075407000
,101900010606.000000000000000,48,0.781448457077000
,101900020101.000000000000000,42,0.758512108037000
,101900020102.000000000000000,40,0.767503538184000
,101900020103.000000000000000,57,0.786070801778000
,101900020104.000000000000000,77,0.785111628447000
,101900020105.000000000000000,71,0.814069256331000
,101900020201.000000000000000,60,0.851835555143000
,101900020202.000000000000000,45,0.835521846361000
,101900020203.000000000000000,34,0.841841651983000
,101900020204.000000000000000,47,0.822504965072000
,101900020301.000000000000000,37,0.821721929661000
,101900020302.000000000000000,66,0.787155928306000
,101900020303.000000000000000,52,0.835558843901000
,101900020304.000000000000000,43,0.798001363550000
,101900020305.000000000000000,30,0.807198155125000
,101900020401.000000000000000,41,0.845499591492000
,101900020402.000000000000000,52,0.849179102939000
,101900020403.000000000000000,34,0.831223854627000
,101900020404.000000000000000,55,0.808230633362000
,101900020405.000000000000000,39,0.837888807613000
,101900020406.000000000000000,34,0.824674578441000
,101900020407.000000000000000,46,0.847619045404000
,101900020408.000000000000000,34,0.858978606534000
,101900020501.000000000000000,26,0.832418187062000
,101900020502.000000000000000,20,0.854071240071000
,101900020503.000000000000000,25,0.805192927415000
,101900020504.000000000000000,45,0.777788093831000
,101900020601.000000000000000,23,0.864859154253000
,101900020602.000000000000000,34,0.858631396866000
,101900020603.000000000000000,19,0.776919780202000
,101900020604.000000000000000,29,0.859408754262000
,101900020605.000000000000000,18,0.876260937112000
,101900020606.000000000000000,43,0.819666005572000
,101900020607.000000000000000,18,0.844052922681000
,101900020608.000000000000000,51,0.756910792192000
,101900020701.000000000000000,36,0.845040346744000
,101900020702.000000000000000,30,0.770122184899000
,101900020703.000000000000000,56,0.687486685495000
,101900020801.000000000000000,25,0.817862357194000
,101900020802.000000000000000,42,0.842171301444000
,101900020803.000000000000000,20,0.789325871148000
,101900020804.000000000000000,29,0.757764548507000
,101900020805.000000000000000,22,0.768989548729000
,101900020806.000000000000000,18,0.761874582699000
,101900020807.000000000000000,24,0.768407569397000
,101900020808.000000000000000,33,0.688820315203000
,101900020809.000000000000000,39,0.553345340242000
,101900020901.000000000000000,61,0.550326300779000
,101900020902.000000000000000,38,0.552477771037000
,101900020903.000000000000000,54,0.544648273858000
,101900020904.000000000000000,87,0.464728324541000
,101900030101.000000000000000,40,0.860558494091000
,101900030102.000000000000000,53,0.827309960368000
,101900030103.000000000000000,47,0.844360332731000
,101900030104.000000000000000,21,0.857375207035000
,101900030105.000000000000000,20,0.828714096028000
,101900030106.000000000000000,48,0.826583544863000
,101900030107.000000000000000,21,0.765636257704000
,101900030108.000000000000000,50,0.731556594740000
,101900030201.000000000000000,70,0.836454224533000
,101900030202.000000000000000,45,0.668633420093000
,101900030203.000000000000000,48,0.507799742501000
,101900030204.000000000000000,31,0.480822044201000
,101900030301.000000000000000,41,0.670199773052000
,101900030302.000000000000000,39,0.648938906710000
,101900030303.000000000000000,50,0.620449096427000
,101900030304.000000000000000,38,0.490864354029000
,101900030401.000000000000000,35,0.297721842828000
,101900030402.000000000000000,58,0.437360305948000
,101900030403.000000000000000,24,0.282388654329000
,101900030404.000000000000000,17,0.256124437291000
,101900030405.000000000000000,43,0.288206613418000
,101900030406.000000000000000,31,0.556526561699000
,101900030407.000000000000000,32,0.355947974977000
,101900030408.000000000000000,41,0.227217210667000
,101900030409.000000000000000,20,0.235480318681000
,101900030501.000000000000000,6,0.252770784245000
,101900030502.000000000000000,6,0.255523661616000
,101900030503.000000000000000,9,0.238902715500000
,101900030504.000000000000000,6,0.285118655612000
,101900030505.000000000000000,5,0.271530876977000
,101900030601.000000000000000,23,0.228155995345000
,101900030602.000000000000000,14,0.235355158126000
,101900030603.000000000000000,21,0.301287379575000
,101900030604.000000000000000,15,0.287521154149000
,101900030605.000000000000000,19,0.303414988563000
,101900030606.000000000000000,12,0.291272558578000
,101900030607.000000000000000,21,0.328512167258000
,101900030701.000000000000000,13,0.832958526636000
,101900030702.000000000000000,11,0.832752739817000
,101900030703.000000000000000,17,0.841490535320000
,101900030704.000000000000000,18,0.809816880313000
,101900030705.000000000000000,74,0.779526136143000
,101900030706.000000000000000,39,0.395677262730000
,101900030707.000000000000000,25,0.256514863177000
,101900030801.000000000000000,13,0.247961097542000
,101900030802.000000000000000,24,0.278509669075000
,101900030803.000000000000000,76,0.280826622694000
,101900030804.000000000000000,11,0.269854939044000
,101900030805.000000000000000,12,0.368595187652000
,101900030806.000000000000000,17,0.352079695492000
,101900030901.000000000000000,33,0.376686496833000
,101900030902.000000000000000,35,0.245357670109000
,101900030903.000000000000000,39,0.258582373786000
,101900030904.000000000000000,30,0.273856132764000
,101900030905.000000000000000,58,0.212009428237000
,101900030906.000000000000000,31,0.228709217707000
,101900030907.000000000000000,20,0.274440620230000
,101900030908.000000000000000,34,0.360456740395000
,101900030909.000000000000000,25,0.523339660986000
,101900030910.000000000000000,31,0.431269248168000
,101900031001.000000000000000,7,0.588364734645000
,101900031002.000000000000000,15,0.490824313344000
,101900031003.000000000000000,10,0.431138014446000
,101900031004.000000000000000,32,0.596956549356000
,101900031005.000000000000000,13,0.510101946826000
,101900031006.000000000000000,11,0.648799750991000
,101900031007.000000000000000,48,0.516898146589000
,101900031101.000000000000000,2,0.390751563304000
,101900031102.000000000000000,22,0.473856354048000
,101900031103.000000000000000,28,0.535291699086000
,101900031104.000000000000000,28,0.554039747412000
,101900031105.000000000000000,23,0.476712222469000
,101900031201.000000000000000,11,0.486059253809000
,101900031202.000000000000000,24,0.585532013778000
,101900031203.000000000000000,23,0.382009898357000
,101900031205.000000000000000,63,0.605770163920000
,101900031206.000000000000000,32,0.497480782909000
,101900040101.000000000000000,32,0.827458673317000
,101900040102.000000000000000,32,0.839367990142000
,101900040103.000000000000000,47,0.812813364084000
,101900040104.000000000000000,14,0.759386552806000
,101900040201.000000000000000,49,0.833466964938000
,101900040202.000000000000000,29,0.815513917813000
,101900040203.000000000000000,26,0.837775597694000
,101900040204.000000000000000,27,0.798234265679000
,101900040205.000000000000000,18,0.804570276787000
,101900040206.000000000000000,60,0.818901883714000
,101900040207.000000000000000,34,0.774934184276000
,101900040301.000000000000000,37,0.817217709551000
,101900040302.000000000000000,11,0.778278505169000
,101900040303.000000000000000,26,0.617838082575000
,101900040304.000000000000000,32,0.575584429878000
,101900040401.000000000000000,35,0.798143422866000
,101900040402.000000000000000,38,0.706246305430000
