FID,HUC12,FP_Areakm2,StrmOrder,Floods,Groundwater,Sediment,Organics_Solutes,Habitat,IFI_geomean,IFI_prod,In_City,ECO_name
42,1.018E+11,0.342724,2,0.990059229,0.997914007,0.972141626,0.97995572,0.981427751,0.984259747,0.923737599,0,SRO
43,1.018E+11,0.385038,3,0.944222185,0.920359762,0.9100587,0.912259252,0.910902259,0.919471467,0.657190512,0,SRO
44,1.018E+11,1.9450901,6,0.85705384,0.628344475,0.667550917,0.613023627,0.711245321,0.690299228,0.156742561,0,SRO
45,1.018E+11,0.639305,2,0.805557223,0.7430043,0.677866129,0.618332387,0.734475333,0.71299449,0.184259915,0,SRO
46,1.018E+11,3.0973699,3,0.814099758,0.740280007,0.672650294,0.599275102,0.775575835,0.716180838,0.188414137,0,SRO
47,1.018E+11,0.766926,3,0.82791026,0.75,0.716859725,0.63332578,0.804434563,0.743223306,0.226775743,0,SRO
48,1.018E+11,0.451659,3,0.77236623,0.73941097,0.629872301,0.642549314,0.726072647,0.69979308,0.167821739,0,SRO
49,1.018E+11,1.85001,4,0.764428693,0.664638212,0.584673359,0.567662238,0.643009391,0.641251779,0.108428366,0,SRO
50,1.018E+11,0.448341,4,0.81489065,0.702104577,0.660477598,0.584188831,0.746256578,0.697204418,0.164740604,0,SRO
51,1.018E+11,1.3927701,4,0.793027494,0.699091763,0.583622048,0.591362908,0.672937344,0.663676692,0.128760552,0,WYB
52,1.018E+11,0.713242,4,0.972725844,0.953531524,0.83512116,0.857744982,0.882138429,0.898657049,0.586097577,0,WYB
53,1.018E+11,3.94958,4,0.780299103,0.349719491,0.501443316,0.522353809,0.620979871,0.536350903,0.044385905,0,WYB
54,1.018E+11,1.19393,3,0.988471279,0.695041377,0.889773352,0.949366742,0.906245611,0.879400702,0.525937381,0,WYB
55,1.018E+11,2.6631,4,0.646230977,0.628808929,0.549534471,0.549165795,0.695729384,0.611236172,0.085318898,0,WYB
56,1.018E+11,0.881675,3,0.807220948,0.617362518,0.690782169,0.619119537,0.754913172,0.693919453,0.160896024,0,WYB
57,1.018E+11,0.514561,2,0.783016012,0.75,0.651881339,0.636476429,0.764534129,0.714555443,0.18628576,0,SRO
58,1.018E+11,0.144568,4,0.856259469,0.709274569,0.622527608,0.596856324,0.748351739,0.700665595,0.168870568,0,WYB
59,1.019E+11,0.0060948,4,0.954623491,0.808349428,0.783846631,0.547014429,0.855897754,0.776992101,0.283193328,0,SRO
60,1.019E+11,0.755293,4,0.434997582,0.51949656,0.447119612,0.161877272,0.486580729,0.380335448,0.007958551,1,SRO
61,1.019E+11,1.07086,2,0.978260862,0.9843862,0.950018412,0.968866811,0.927543007,0.961590293,0.822148658,0,SRO
62,1.019E+11,3.2010601,4,0.944148222,0.922392429,0.77714176,0.69381646,0.754912661,0.812679852,0.354484675,1,SRO
63,1.019E+11,3.82411,1,0.980422211,0.963116569,0.935959926,0.914295183,0.790639951,0.914287721,0.638872856,0,SRO
64,1.019E+11,6.68889,4,0.98450255,0.786271527,0.84395982,0.792428899,0.862970056,0.851164377,0.446752711,0,SRO
65,1.019E+11,5.53896,3,0.972264034,0.980951095,0.922873438,0.927237976,0.811375006,0.920867852,0.662196008,0,SRO
66,1.019E+11,11.7398005,4,0.957032194,0.690080282,0.808359275,0.81188935,0.791764137,0.807429574,0.343181021,0,SRO
67,1.019E+11,1.04291,3,0.933631886,0.930226882,0.883090704,0.883826342,0.796808612,0.884093438,0.540120716,0,SRO
68,1.019E+11,1.24915,3,0.774886017,0.718469942,0.644396897,0.600717086,0.722659126,0.689414906,0.155741138,0,SRO
69,1.019E+11,0.891163,3,0.820557883,0.757604702,0.887425443,0.584030627,0.607503395,0.721661635,0.19573482,0,SRO
70,1.019E+11,2.90312,3,0.946335941,0.920256308,0.896453504,0.907074106,0.780856495,0.888258108,0.552962784,0,SRO
71,1.019E+11,26.1791,4,0.967262276,0.873350746,0.928153895,0.905909393,0.802384538,0.893642984,0.569928337,0,SRO
72,1.019E+11,1.1242501,3,0.934507816,0.832831243,0.872583709,0.738204303,0.748389139,0.821959121,0.375189863,0,SRO
73,1.019E+11,3.71034,3,0.873586035,0.867233506,0.817960123,0.769560199,0.680210463,0.798384237,0.324384257,0,SRO
74,1.019E+11,6.3800902,2,0.951336033,0.726097867,0.933520661,0.928653261,0.834298685,0.870413539,0.499606625,0,SRO
