OID_,HUC12,ZONE_CODE,COUNT,AREA,MEAN
,101800010101,1,1609,1448100.000000000000000,0.159105034183000
,101800010102,2,5718,5146200.000000000000000,0.227177334732000
,101800010103,3,844,759600.000000000000000,0.031990521327000
,101800010104,4,2271,2043900.000000000000000,0.228533685601000
,101800010105,5,2293,2063700.000000000000000,0.071522023549900
,101800010106,6,4536,4082400.000000000000000,0.158509700176000
,101800010107,7,1863,1676700.000000000000000,0.000536768652711
,101800010108,8,8294,7464600.000000000000000,0.108753315650000
,101800010201,9,1847,1662300.000000000000000,0.012994044396300
,101800010202,10,4039,3635100.000000000000000,0.077742015350300
,101800010203,11,7868,7081200.000000000000000,0.026309100152500
,101800010204,12,2904,2613600.000000000000000,0.153925619835000
,101800010301,13,1199,1079100.000000000000000,0.033361134278600
,101800010302,14,1108,997200.000000000000000,0.004512635379060
,101800010303,15,5853,5267700.000000000000000,0.125234922262000
,101800010304,16,1348,1213200.000000000000000,0.137982195846000
,101800010305,17,3663,3296700.000000000000000,0.009828009828010
,101800010306,18,10184,9165600.000000000000000,0.046739984289100
,101800010401,19,1839,1655100.000000000000000,0.027188689505200
,101800010402,20,1708,1537200.000000000000000,0.078454332552700
,101800010403,21,1376,1238400.000000000000000,0.093023255814000
,101800010404,22,2781,2502900.000000000000000,0.174757281553000
,101800010405,23,5785,5206500.000000000000000,0.092134831460700
,101800010406,24,1895,1705500.000000000000000,0.406332453826000
,101800010407,25,5784,5205600.000000000000000,0.075553250345800
,101800010408,26,9914,8922600.000000000000000,0.061024813395200
,101800010409,27,5023,4520700.000000000000000,0.091976906231300
,101800010501,28,1541,1386900.000000000000000,0.142115509409000
,101800010502,29,868,781200.000000000000000,0.286866359447000
,101800010503,30,2413,2171700.000000000000000,0.062992125984300
,101800010504,31,624,561600.000000000000000,0.068910256410300
,101800010505,32,10406,9365400.000000000000000,0.059581010955200
,101800010506,33,10394,9354600.000000000000000,0.072060804310200
,101800010507,34,10999,9899100.000000000000000,0.029729975452300
,101800010601,35,1646,1481400.000000000000000,0.094167679222400
,101800010602,36,2555,2299500.000000000000000,0.052446183953000
,101800010603,37,2292,2062800.000000000000000,0.199389179756000
,101800010604,38,2772,2494800.000000000000000,0.033910533910500
,101800010605,39,7129,6416100.000000000000000,0.126525459391000
,101800010701,40,5779,5201100.000000000000000,0.080463748053300
,101800010702,41,1477,1329300.000000000000000,0.106296547055000
,101800010703,42,9543,8588700.000000000000000,0.044011317195900
,101800020101,43,392,352800.000000000000000,0.020408163265300
,101800020102,44,426,383400.000000000000000,0.223004694836000
,101800020107,45,2171,1953900.000000000000000,0.221556886228000
,101800020201,46,720,648000.000000000000000,0.062500000000000
,101800020202,47,3458,3112200.000000000000000,0.057547715442500
,101800020401,48,862,775800.000000000000000,0.000000000000000
,101800020402,49,491,441900.000000000000000,0.000000000000000
,101800100101,50,2051,1845900.000000000000000,0.019502681618700
,101800100102,51,503,452700.000000000000000,0.000000000000000
,101800100103,52,1533,1379700.000000000000000,0.007175472928900
,101800100104,53,791,711900.000000000000000,0.102402022756000
,101800100105,54,4401,3960900.000000000000000,0.279709157010000
,101800100106,55,1319,1187100.000000000000000,0.000000000000000
,101800100107,56,2955,2659500.000000000000000,0.030118443316400
,101800100202,57,979,881100.000000000000000,0.020429009193100
,101800100301,58,588,529200.000000000000000,0.000000000000000
,101800100304,59,162,145800.000000000000000,0.000000000000000
,101900010101,60,8,7200.000000000000000,1.875000000000000
,101900010102,61,831,747900.000000000000000,2.255114320100000
,101900010103,62,1193,1073700.000000000000000,0.105616093881000
,101900010104,63,3555,3199500.000000000000000,0.383966244726000
,101900010105,64,4242,3817800.000000000000000,0.147571900047000
,101900010106,65,7443,6698700.000000000000000,0.198710197501000
,101900010107,66,6160,5544000.000000000000000,0.186363636364000
,101900010108,67,13064,11757600.000000000000000,0.253521126761000
,101900010201,68,1157,1041300.000000000000000,0.103716508211000
,101900010202,69,1381,1242900.000000000000000,0.308472121651000
,101900010203,70,988,889200.000000000000000,2.371457489880000
,101900010204,71,3243,2918700.000000000000000,0.416897934012000
,101900010205,72,29116,26204400.000000000000000,0.239662041489000
,101900010206,73,1240,1116000.000000000000000,1.635483870970000
,101900010207,74,4135,3721500.000000000000000,1.298911729140000
,101900010208,75,7103,6392700.000000000000000,0.233844854287000
,101900010209,76,11438,10294200.000000000000000,0.172670047211000
,101900010210,77,10666,9599400.000000000000000,1.165291580720000
,101900010301,78,3714,3342600.000000000000000,1.014808831450000
,101900010302,79,2147,1932300.000000000000000,0.298556124825000
,101900010303,80,1631,1467900.000000000000000,0.430410790926000
,101900010304,81,1693,1523700.000000000000000,1.792675723570000
,101900010305,82,5426,4883400.000000000000000,1.568190195360000
,101900010306,83,17184,15465600.000000000000000,0.029038640595900
,101900010307,84,18741,16866900.000000000000000,0.166586628248000
,101900010401,85,1807,1626300.000000000000000,0.211400110681000
,101900010402,86,6823,6140700.000000000000000,0.229224681225000
,101900010403,87,2277,2049300.000000000000000,0.927536231884000
,101900010404,88,9750,8775000.000000000000000,0.171179487179000
,101900010405,89,1506,1355400.000000000000000,0.986055776892000
,101900010501,90,1117,1005300.000000000000000,0.842435094002000
,101900010502,91,962,865800.000000000000000,1.104989604990000
,101900010503,92,4293,3863700.000000000000000,0.335196832052000
,101900010504,93,1661,1494900.000000000000000,0.498494882601000
,101900010505,94,437,393300.000000000000000,2.821510297480000
,101900010506,95,2017,1815300.000000000000000,0.504709965295000
,101900010507,96,1517,1365300.000000000000000,0.466710613052000
