,FID,HUC12,FREQUENCY,SUM_Length_km,Unnamed: 0,FP_Areakm2,Line_Density
0,,101900020501,3,3.899169014766812,124,0.3437199890613556,11.344027519071032
1,,101900020502,2,3.878721013665199,125,0.8756920099258423,4.429321005216968
2,,101900020503,9,16.700071146711707,126,2.997689962387085,5.570980106766379
3,,101900020504,3,7.080484166741371,127,1.9837299585342407,3.5692782358205015
4,,101900020808,1,0.8488489985466,146,4.063660144805908,0.20888779285137374
5,,101900020901,6,2.743917021900415,148,6.004889965057372,0.4569470944292647
6,,101900020902,15,3.319166538305581,149,1.149880051612854,2.8865328463173396
7,,101900020903,6,1.446548968553543,150,1.878350019454956,0.7701168331625916
8,,101900020904,73,44.97749513527377,151,13.14050006866455,3.422814573284711
9,,101900030203,13,4.377853985875845,162,2.183350086212158,2.0051085776495325
10,,101900030204,64,52.76466078311205,163,10.054100036621094,5.2480739788665165
11,,101900030304,334,123.57536416640505,167,10.98169994354248,11.252844714544446
12,,101900030401,16,20.369065390899774,168,9.062959671020508,2.247507009882366
13,,101900030402,47,36.52145986352116,169,18.640899658203125,1.9592112254866145
14,,101900030403,8,15.118842076510193,170,6.701260089874268,2.2561192781272665
15,,101900030404,8,24.17956566438079,171,10.415399551391602,2.3215207006773118
16,,101900030405,9,14.034614365547895,172,14.28159999847412,0.9827060250285253
17,,101900030406,1,1.520409941673279,173,6.0970401763916025,0.24936852926777003
18,,101900030409,12,30.22137463092804,176,24.72450065612793,1.2223249743746682
19,,101900030501,1,9.555319786071776,177,7.707640171051025,1.23972053365444
20,,101900030502,3,14.105572963133454,178,4.45251989364624,3.167997740619228
21,,101900030604,3,4.588846057653426,185,14.32800006866455,0.32027121968607947
22,,101900030606,16,33.896823620423675,187,23.30010032653809,1.4547930328787575
23,,101900030607,3,10.068929238244893,188,31.19750022888184,0.32274794981565025
24,,101900030706,4,10.048555195331572,194,12.17389965057373,0.8254179419704682
25,,101900030803,3,27.482879303395748,198,11.379400253295898,2.415143038442266
26,,101900030907,3,24.80126678943634,208,23.228900909423828,1.067690067909094
27,,101900030908,4,25.865416765213013,209,15.573599815368652,1.660850225500721
28,,101900030909,1,22.89520072937012,210,9.195219993591307,2.4899024433702666
29,,101900031102,2,24.68184077739716,220,22.496299743652344,1.0971511341264688
30,,101900031103,1,22.89520072937012,221,30.049299240112305,0.7619212862976752
31,,101900040304,12,15.033240213990213,243,5.461170196533203,2.7527507242922846
32,,101900040402,37,10.733680237084627,245,1.2251399755477903,8.761186845025879
33,,101900040403,33,19.28719950094819,246,9.01196002960205,2.1401781008342837
34,,101900040404,27,26.22818392142653,247,4.337800025939941,6.046425322648028
35,,101900050304,3,7.482508450746536,258,9.063949584960938,0.8255240588674108
36,,101900050406,11,5.910378377884626,264,9.574999809265137,0.6172719055477701
37,,101900050501,4,8.661081342026591,265,0.554643988609314,15.615568761040654
38,,101900050502,13,23.581188019365072,266,0.9632970094680786,24.47966492949701
39,,101900050503,10,6.751654766499996,267,2.6145000457763667,2.582388467503398
40,,101900050504,8,2.9794563464820385,268,10.736200332641602,0.2775149730974659
41,,101900050602,1,1.379520058631897,270,2.239650011062622,0.6159534087102169
42,,101900050603,9,7.657346040010452,271,4.098289966583252,1.8684246606382486
43,,101900050701,6,5.2917641922831535,274,7.511360168457031,0.7045014582718615
44,,101900050703,8,14.250005699694155,276,10.831700325012207,1.3155834515462461
45,,101900050704,3,7.738586263731122,277,7.778279781341553,0.9948968771082718
46,,101900050706,5,4.343833029270172,279,7.192959785461426,0.6039006415759514
47,,101900050709,1,1.414049983024597,282,6.309730052947997,0.22410625671124113
48,,101900060503,3,4.5853454172611245,304,6.143680095672607,0.7463515915307636
49,,101900060504,9,5.982528457418084,305,3.1290199756622314,1.911949589312523
50,,101900060604,6,1.5354793108999731,309,7.946420192718506,0.19322906084263822
51,,101900060606,6,10.231816157698633,311,8.755009651184082,1.168681311083971
52,,101900070804,14,16.591485593467954,350,11.721500396728516,1.4154745580266035
53,,101900070805,24,22.66228275746107,351,20.0132999420166,1.132361121010489
54,,101900070903,7,7.638299658894539,354,6.320149898529053,1.208563053333952
55,,101900070905,17,19.430642804130915,356,33.90069961547852,0.5731634752239506
56,,101900071001,3,7.786188763566315,357,9.894189834594727,0.7869455603471593
57,,101900071002,4,14.104624345898626,358,16.82200050354004,0.8384629606288762
58,,101900071003,21,22.279396519064907,359,14.099300384521484,1.580177449338104
59,,101900071005,4,4.510815456509589,361,12.9931001663208,0.3471700670946876
60,,101900071007,2,7.019649982452393,363,3.6632900238037114,1.9162146422585633
61,,101900071008,10,19.502259127795696,364,30.032400131225586,0.6493739775236483
62,,101900080105,2,5.90828176215291,366,2.8739900588989262,2.0557766871387413
63,,101900080201,1,2.164530038833618,367,9.948829650878906,0.21756629822708823
64,,101900080202,4,22.86691576242447,368,16.979700088500973,1.3467208280027543
65,,101900080203,5,23.255074769258496,369,14.92020034790039,1.5586301944350909
66,,101900100203,7,3.6080266907811165,404,12.15939998626709,0.2967273627692194
67,,101900100207,1,2.170180082321167,408,7.859020233154298,0.2761387574962564
68,,101900100304,3,1.6475370377302168,414,16.211299896240234,0.10162892848045564
69,,101900100403,1,22.89520072937012,417,30.02910041809082,0.7624337862474584
70,,101900100404,6,27.711700193583965,418,31.573299407958984,0.8776941502223367
71,,101900110106,1,0.41532298922538796,424,0.0031948199030011892,129.99887375035968
72,,101900110108,9,10.277462488971652,426,8.555060386657715,1.2013313786773683
73,,101900110109,6,9.288196824491024,427,9.86812973022461,0.9412317306736111
