,FID,HUC12,FREQUENCY,SUM_Length_km,Unnamed: 0,FP_Areakm2,Line_Density
0,-1,101800010104,4,4.319233983755112,3,2.0333399772644043,2.124206493773895
1,-1,101800010105,1,3.5482699871063232,4,2.0668001174926762,1.7167939739672946
2,-1,101800010106,3,12.18340015411377,5,4.092599868774413,2.9769341115094794
3,-1,101800010108,4,14.184924781322481,7,7.459559917449951,1.9015766262752394
4,-1,101800010201,1,2.688420057296753,8,1.6584500074386597,1.621043772943628
5,-1,101800010202,3,3.577993929386139,9,3.64274001121521,0.9822259942708698
6,-1,101800010203,1,6.755489826202393,10,7.070380210876465,0.9554634439333727
7,-1,101800010204,3,4.9478450417518625,11,2.6201601028442383,1.8883750792101879
8,-1,101800010302,1,1.212010025978088,13,1.000040054321289,1.2119614816835107
9,-1,101800010303,6,20.001697897911075,14,5.244309902191162,3.8139809185483156
10,-1,101800010304,2,2.907401017844677,15,1.2039599418640137,2.4148652432267266
11,-1,101800010305,5,14.413409948348999,16,3.304539918899536,4.361699450478689
12,-1,101800010306,9,18.54142591357231,17,9.170350074768066,2.021888560676486
13,-1,101800010404,1,1.5512399673461907,21,2.5053200721740723,0.6191783575182281
14,-1,101800010405,2,7.740410089492798,22,5.190969944000244,1.4911298221711364
15,-1,101800010407,8,15.942690700292587,24,5.217339992523193,3.055712436440707
16,-1,101800010408,5,14.503227189183235,25,8.91769027709961,1.6263434520065285
17,-1,101800010501,2,0.7135750055313109,27,1.3792799711227417,0.5173532716134903
18,-1,101800010504,2,1.0244180262088778,30,0.5617309808731079,1.8236808384978298
19,-1,101800010505,8,26.498849987983704,31,9.366700172424316,2.8290485977117803
20,-1,101800010506,4,5.931370973587036,32,9.35595989227295,0.6339671227626502
21,-1,101800010507,4,9.187105372548103,33,9.898550033569336,0.9281263762259642
22,-1,101800010601,2,4.7679370641708365,34,1.4949100017547607,3.1894475644514513
23,-1,101800010602,2,3.503570079803467,35,2.2950398921966557,1.5265835211474639
24,-1,101800010603,3,3.579336911439896,36,2.0596299171447754,1.7378543988144535
25,-1,101800010604,5,11.996728271245955,37,2.5012800693511963,4.796235502871044
26,-1,101800010605,8,20.544648036360737,38,6.419610023498535,3.200295338993877
27,-1,101800010701,2,7.745230197906494,39,5.193419933319092,1.4913545019180745
28,-1,101800010702,4,10.516997754573822,40,1.3200500011444092,7.967120749559619
